#1
double Intgainconv_Intgainrad_COPMin(8760, 4)
#time_in_s	c_o_n_v	r_a_d	C_O_P_M_i_n
2080800	40.43620875	24.261725249999998	0
2084400	76.60297437499999	45.961784625	0
2088000	55.0581275	33.0348765	0
2091600	76.89469749999999	46.1368185	0
2095200	258.00581125	154.80348675	0
2098800	1029.424736875	617.654842125	0
2102400	688.17573375	412.90544024999997	0
2106000	707.475770625	424.48546237499994	0
2109600	561.933701875	337.160221125	0
2113200	153.46729625	92.08037775	0
2116800	1571.105843125	942.6635058749999	0
2120400	2155.60037375	1293.36022425	0
2124000	88.429480625	53.057688375	0
2127600	1252.3723643750002	751.4234186250001	0
2131200	227.56493	136.53895799999998	0
2134800	283.87757562499996	170.326545375	0
2138400	412.83219625	247.69931774999998	0
2142000	928.8953225	557.3371935	0
2145600	306.665240625	183.999144375	0
2149200	224.52268687499998	134.713612125	0
2152800	76.93569375	46.161416249999995	0
2156400	37.860613125	22.716367875	0
2160000	37.881063749999996	22.728638250000003	0
2163600	115.61275437500001	69.367652625	0
2167200	66.34237625	39.80542575	0
2170800	39.289921875000005	23.573953125	0
2174400	38.004645625	22.802787375	0
2178000	47.20609187499999	28.323655125	0
2181600	561.7520093750001	337.051205625	0
2185200	1025.1008875	615.0605325	0
2188800	125.65975875	75.39585525000001	0
2192400	557.94388875	334.76633325000006	0
2196000	271.45544562500004	162.87326737499998	0
2199600	118.3043775	70.98262650000001	0
2203200	115.97285875	69.58371525	0
2206800	142.45925437499997	85.47555262499999	0
2210400	123.083681875	73.85020912499999	0
2214000	104.86514875	62.919089250000006	0
2217600	327.462895	196.477737	0
2221200	339.03448875	203.42069325	0
2224800	603.652969375	362.191781625	0
2228400	860.0357999999999	516.02148	0
2232000	456.64008875	273.98405325000004	0
2235600	377.534265	226.52055900000002	0
2239200	472.20173625	283.32104175	0
2242800	105.857468125	63.514480875000004	0
2246400	58.76089375	35.256536249999996	0
2250000	38.737314999999995	23.242389	0
2253600	41.39962375	24.83977425	0
2257200	94.4095375	56.6457225	0
