time,livingroom__win_net_W,hobby__win_net_W,corridor__win_net_W,wcstorage__win_net_W,kitchen__win_net_W,bedroom__win_net_W,children__win_net_W,corridor2__win_net_W,bath__win_net_W,children2__win_net_W,attic__win_net_W
241200.0,-129.07054503395372,-64.82190965750128,0.0,-32.36404174962908,-97.1236327439546,-97.60321282119388,-65.33337434495658,-33.209122014719185,-32.99222067773943,-65.49888109049611,0.0
244800.0,-129.81726194355414,-65.19218516078955,0.0,-32.54488002776758,-97.67209816315633,-98.16102116683392,-65.69596960769778,-33.38723591166916,-33.1680491614526,-65.85937655877812,0.0
248400.0,-130.9853809009585,-65.76584420243098,0.0,-32.824674741761655,-98.53087874491322,-99.04905921519818,-66.27565633377658,-33.671834100549155,-33.45109993779073,-66.43722628944514,0.0
252000.0,-134.09583550750003,-67.33575146871341,0.0,-33.615653545681496,-100.87256675324083,-101.3730464899282,-67.83135992794523,-34.45687052737344,-34.2338824317754,-67.99274934532241,0.0
255600.0,-139.2277502867851,-69.89508883217874,0.0,-34.89152692280869,-104.70976945781482,-105.15587837291066,-70.32884677006776,-35.69896247603556,-35.47389554937567,-70.4912876887905,0.0
259200.0,-144.11978167893213,-72.294610338798,0.0,-36.0671240316736,-108.32787090559682,-108.72690912982281,-72.64332898142379,-36.82694027190913,-36.60095519212469,-72.80665625061394,0.0
262800.0,-148.0966225930618,-74.24107494952085,0.0,-37.01716920015169,-111.26474374694638,-111.6465372881086,-74.53482133061561,-37.747371482690795,-37.52129802668491,-74.69862740007075,0.0
266400.0,-151.63958349029457,-76.01042810004567,0.0,-37.89644634005413,-113.91638564933842,-114.28087572952504,-76.279376272463,-38.61839919173949,-38.390989729409014,-76.44462411220057,0.0
270000.0,-154.3950368416505,-77.39649554361598,0.0,-38.58793587742045,-115.98820097814158,-116.33005792542396,-77.64469170351111,-39.30609228574646,-39.076745876611746,-77.81169365446631,0.0
273600.0,-156.44992295715446,-78.40914834558994,0.0,-39.082006152519064,-117.51198061777492,-117.84762514118144,-78.63515811787326,-39.792669098322094,-39.56300460273303,-78.80270556612962,0.0
277200.0,-157.9105948926843,-79.13497599037855,0.0,-39.437566028669885,-118.60069250423152,-118.93627333851,-79.35245169301831,-40.14902462340676,-39.91886247007231,-79.52047730419103,0.0
280800.0,-158.37919580664854,-79.3578076272302,0.0,-39.53951422623393,-118.93890225922836,-119.30723497438628,-79.59117497951075,-40.26260883691251,-40.03340941058105,-79.75840122900519,0.0
