Time,radCon.Q_flow,sou.T_in,radCon.vol[1].T,radCon.vol[5].T
6998.4,-253.4682,296.054,295.94275,295.54706
7020,-232.11629,295.85,295.74826,295.38577
7041.6,-211.08936,295.646,295.55362,295.22382
7063.2,-190.40948,295.442,295.35883,295.0612
7084.8,-170.10233,295.238,295.16382,294.8978
7106.4,-150.19801,295.034,294.96863,294.7336
7128,-130.73262,294.83,294.77322,294.56854
7149.6,-111.7501,294.626,294.57758,294.4025
7171.2,-93.30533,294.422,294.38168,294.23538
7192.8,-75.46909,294.218,294.1855,294.06705
7200,-69.6744,294.15,294.12003,294.01065
7200,-69.6744,294.15,294.12003,294.01065
7214.4,-69.6744,294.15,294.12003,294.01065
7236,-69.6744,294.15,294.12003,294.01065
7257.6,-69.6744,294.15,294.12003,294.01065
7279.2,-69.6744,294.15,294.12003,294.01065
7300.8,-69.6744,294.15,294.12003,294.01065
7322.4,-69.6744,294.15,294.12003,294.01065
7344,-69.6744,294.15,294.12003,294.01065
7365.6,-69.6744,294.15,294.12003,294.01065
7387.2,-69.6744,294.15,294.12003,294.01065
7408.8,-69.6744,294.15,294.12003,294.01065
7430.4,-69.6744,294.15,294.12003,294.01065
7452,-69.6744,294.15,294.12003,294.01065
7473.6,-69.6744,294.15,294.12003,294.01065
7495.2,-69.6744,294.15,294.12003,294.01065
7516.8,-69.6744,294.15,294.12003,294.01065
7538.4,-69.6744,294.15,294.12003,294.01065
7560,-69.6744,294.15,294.12003,294.01065
7581.6,-69.6744,294.15,294.12003,294.01065
7603.2,-69.6744,294.15,294.12003,294.01065
7624.8,-69.6744,294.15,294.12003,294.01065
7646.4,-69.6744,294.15,294.12003,294.01065
7668,-69.6744,294.15,294.12003,294.01065
7689.6,-69.6744,294.15,294.12003,294.01065
7711.2,-69.6744,294.15,294.12003,294.01065
7732.8,-69.6744,294.15,294.12003,294.01065
7754.4,-69.6744,294.15,294.12003,294.01065
7776,-69.6744,294.15,294.12003,294.01065
7797.6,-69.6744,294.15,294.12003,294.01065
7819.2,-69.6744,294.15,294.12003,294.01065
7840.8,-69.6744,294.15,294.12003,294.01065
7862.4,-69.6744,294.15,294.12003,294.01065
7884,-69.6744,294.15,294.12003,294.01065
7905.6,-69.6744,294.15,294.12003,294.01065
